param,factor,role_flips,top20_jaccard
CONS_3D_STRONG,0.75,0,1.0
CONS_3D_STRONG,1.25,0,1.0
CONS_PAYERS_MIN,0.75,106,0.6666666666666666
CONS_PAYERS_MIN,1.25,34,0.7391304347826086
CONS_PAYERS_STRONG,0.75,0,0.7391304347826086
CONS_PAYERS_STRONG,1.25,0,0.8181818181818182
COORD_FEEDER_MIN,0.75,0,1.0
COORD_FEEDER_MIN,1.25,6,0.9047619047619048
COORD_FEEDER_STRONG,0.75,0,0.9047619047619048
COORD_FEEDER_STRONG,1.25,0,1.0
COORD_GAIN_MIN,0.75,0,1.0
COORD_GAIN_MIN,1.25,11,0.8181818181818182
COORD_GAIN_STRONG,0.75,0,1.0
COORD_GAIN_STRONG,1.25,0,1.0
COORD_SEED_REACH_MIN,0.75,0,1.0
COORD_SEED_REACH_MIN,1.25,0,1.0
COORD_SEED_REACH_STRONG,0.75,0,1.0
COORD_SEED_REACH_STRONG,1.25,0,1.0
DIST_RECEIVERS_MIN,0.75,23,1.0
DIST_RECEIVERS_MIN,1.25,24,1.0
DIST_RECEIVERS_STRONG,0.75,0,0.8181818181818182
DIST_RECEIVERS_STRONG,1.25,0,1.0
TERMINAL_INSUM_MIN,0.75,87,1.0
TERMINAL_INSUM_MIN,1.25,81,1.0
TERMINAL_INSUM_STRONG,0.75,0,1.0
TERMINAL_INSUM_STRONG,1.25,0,0.9047619047619048
